date,RSI
2023-03-13,
2023-03-10,
2023-03-09,
2023-03-08,
2023-03-07,
2023-03-06,
2023-03-03,
2023-03-02,
2023-03-01,
2023-02-28,
2023-02-27,
2023-02-24,
2023-02-23,
2023-02-22,47.98946096251948
2023-02-21,46.6452790739233
2023-02-17,58.49532051450777
2023-02-16,61.144136819354955
2023-02-15,64.54703566230666
2023-02-14,57.42589560793201
2023-02-13,58.915495775555115
2023-02-10,50.587227005359544
2023-02-09,50.21042477039531
2023-02-08,53.035857307160164
2023-02-07,59.47499394163204
2023-02-06,51.3631791506337
2023-02-03,57.31128036514701
2023-02-02,48.77676446028542
2023-02-01,39.4988759785176
2023-01-31,37.858655913919584
2023-01-30,36.0351256865507
2023-01-27,42.77700471640118
2023-01-26,39.74386255272098
2023-01-25,36.75225807858048
2023-01-24,38.346778434484236
2023-01-23,36.26029654424501
2023-01-20,31.984069071829907
2023-01-19,29.025868032630484
2023-01-18,28.95930322752659
2023-01-17,31.03166458554655
2023-01-13,29.53199727952598
2023-01-12,27.87240740266583
2023-01-11,28.130155556968674
2023-01-10,24.83308272488803
2023-01-09,24.19139905461755
2023-01-06,23.591499610468674
2023-01-05,19.15229683313777
2023-01-04,23.658803794609057
2023-01-03,22.366287974366685
2022-12-30,36.451931208144465
2022-12-29,35.98891785879495
2022-12-28,31.223914217763834
2022-12-27,40.67762555806273
2022-12-23,44.44916253526023
2022-12-22,45.20766150995386
2022-12-21,51.423877086432164
2022-12-20,45.933805315684545
2022-12-19,46.07159064712014
2022-12-16,50.2460936909212
2022-12-15,53.82551805071302
2022-12-14,63.38962300865695
2022-12-13,65.94795062355081
2022-12-12,63.86389326337446
2022-12-09,59.08324051053462
2022-12-08,59.76535430546333
2022-12-07,56.24165831147482
2022-12-06,59.22432607880633
2022-12-05,64.1883087271384
2022-12-02,65.61813188905253
2022-12-01,66.2333347534931
2022-11-30,65.52624125229221
2022-11-29,51.125403940438424
2022-11-28,55.778736020233055
2022-11-25,60.89286119477095
2022-11-23,64.27818711292576
2022-11-22,62.52557771764467
2022-11-21,58.34820319899558
2022-11-18,62.433683378702376
2022-11-17,61.30826478365881
2022-11-16,57.52702530824705
2022-11-15,59.27878014587921
2022-11-14,55.78976755440882
2022-11-11,57.94069485642519
2022-11-10,52.46253181114692
2022-11-09,36.64228392435579
2022-11-08,43.69700668596769
2022-11-07,43.05032793918039
2022-11-04,42.42086970710298
2022-11-03,43.248297821875056
2022-11-02,52.3235530893819
2022-11-01,58.80626873352058
2022-10-31,61.50441019665464
2022-10-28,63.7836099457974
2022-10-27,49.419966375707226
2022-10-26,54.054221094745905
2022-10-25,56.85195487383752
2022-10-24,53.463296122255606
2022-10-21,50.9941536170097
2022-10-20,46.847157879552995
2022-10-19,47.40512352048727
2022-10-18,47.28002902215553
2022-10-17,45.6980265088833
2022-10-14,41.229888989472705
2022-10-13,47.547798087253526
2022-10-12,42.57594928761117
2022-10-11,43.45237195225923
2022-10-10,45.46902075854877
2022-10-07,45.07232100125554
2022-10-06,52.32138545532598
2022-10-05,53.521325664323584
2022-10-04,53.076416068181345
2022-10-03,47.86323020069551
2022-09-30,42.61465584915936
2022-09-29,48.71393172498951
2022-09-28,57.148486795707214
2022-09-27,59.04092209675027
2022-09-26,57.627717803597875
2022-09-23,57.122028411860455
2022-09-22,59.70892475059111
2022-09-21,60.789720217167144
2022-09-20,64.15024127814621
2022-09-19,59.94009634658883
2022-09-16,53.98074805766594
2022-09-15,56.05928526433213
2022-09-14,59.5252046144467
2022-09-13,57.10003350105327
2022-09-12,66.64694787980503
2022-09-09,57.881316989080474
2022-09-08,54.195202618724004
2022-09-07,55.75920106248378
2022-09-06,53.87074118211499
2022-09-02,55.329132995089154
2022-09-01,57.74561044382474
2022-08-31,56.61051235216319
2022-08-30,58.611453257090794
2022-08-29,61.41232537621445
2022-08-26,63.804554523130236
2022-08-25,69.61049400414038
2022-08-24,65.21665859166208
2022-08-23,64.6889850294407
2022-08-22,65.03428107095027
2022-08-19,68.84582176406037
2022-08-18,71.10439041425244
2022-08-17,71.44347749344118
2022-08-16,68.16977275608366
2022-08-15,68.33425827323826
2022-08-12,65.83818697170977
2022-08-11,58.24935386620382
2022-08-10,59.298995412782546
2022-08-09,51.29893403401416
2022-08-08,51.212815708234956
2022-08-05,52.04510837403551
2022-08-04,52.87481518994433
2022-08-03,53.47783076666157
2022-08-02,42.32350715811612
2022-08-01,45.33317014652827
2022-07-29,47.30724384875748
2022-07-28,39.40083476373838
2022-07-27,38.6459534584529
2022-07-26,32.44228360143626
2022-07-25,35.349437692848625
2022-07-22,37.784162110913144
2022-07-21,40.453385706477064
2022-07-20,37.29435920972129
2022-07-19,34.7160689581448
2022-07-18,30.361379205095943
2022-07-15,37.06727835725833
2022-07-14,35.072713620065315
2022-07-13,31.838544885616543
2022-07-12,32.668740032198045
2022-07-11,31.56106802097422
2022-07-08,36.63275937076108
2022-07-07,35.72617107924533
2022-07-06,31.546676233787196
2022-07-05,30.045781292887824
2022-07-01,27.337141188476153
2022-06-30,25.275167787722054
2022-06-29,31.586724356796907
2022-06-28,29.662551730446054
2022-06-27,39.0839484263309
2022-06-24,39.083948426330906
2022-06-23,34.74772482122971
2022-06-22,31.505335346067127
2022-06-21,32.709532315230376
2022-06-17,28.272755935920614
2022-06-16,26.90495124984818
2022-06-15,38.39539565479289
2022-06-14,35.414469197756546
2022-06-13,34.46473271041501
2022-06-10,44.09681629839001
2022-06-09,52.060525852805036
2022-06-08,58.24536338674987
2022-06-07,59.04750257852854
